,Iteration,Network Fitness
0,1,17
1,2,17
2,3,17
3,4,17
4,5,17
5,6,17
6,7,24
7,8,24
8,9,24
9,10,24
10,11,24
11,12,24
12,13,24
13,14,24
14,15,24
15,16,24
16,17,24
17,18,24
18,19,24
19,20,24
20,21,24
21,22,24
22,23,24
23,24,24
24,25,24
25,26,24
26,27,24
27,28,24
28,29,24
29,30,24
30,31,24
31,32,24
32,33,24
33,34,24
34,35,24
35,36,24
36,37,24
37,38,24
38,39,24
39,40,24
40,41,24
41,42,24
42,43,24
43,44,24
44,45,24
45,46,24
46,47,24
47,48,25
48,49,27
49,50,27
50,51,27
51,52,27
52,53,27
53,54,27
54,55,27
55,56,27
56,57,27
57,58,27
58,59,27
59,60,27
60,61,27
61,62,27
62,63,27
63,64,27
64,65,27
65,66,27
66,67,27
67,68,27
68,69,27
69,70,27
70,71,27
71,72,27
72,73,27
73,74,27
74,75,27
75,76,27
76,77,27
77,78,27
78,79,27
79,80,27
80,81,27
81,82,27
82,83,27
83,84,27
84,85,27
85,86,27
86,87,27
87,88,27
88,89,27
89,90,27
90,91,27
91,92,27
92,93,27
93,94,27
94,95,27
95,96,27
96,97,27
97,98,27
98,99,27
99,100,27
