,Iteration,Network Fitness
0,1,11
1,2,13
2,3,15
3,4,15
4,5,15
5,6,15
6,7,15
7,8,15
8,9,15
9,10,15
10,11,22
11,12,22
12,13,22
13,14,22
14,15,22
15,16,22
16,17,22
17,18,22
18,19,22
19,20,22
20,21,22
21,22,22
22,23,22
23,24,22
24,25,22
25,26,22
26,27,22
27,28,22
28,29,22
29,30,22
30,31,22
31,32,22
32,33,22
33,34,22
34,35,22
35,36,22
36,37,22
37,38,22
38,39,22
39,40,22
40,41,22
41,42,22
42,43,22
43,44,22
44,45,22
45,46,22
46,47,22
47,48,22
48,49,22
49,50,22
50,51,22
51,52,22
52,53,22
53,54,22
54,55,22
55,56,22
56,57,22
57,58,22
58,59,22
59,60,22
60,61,22
61,62,22
62,63,22
63,64,22
64,65,22
65,66,22
66,67,22
67,68,22
68,69,22
69,70,22
70,71,22
71,72,22
72,73,22
73,74,22
74,75,22
75,76,22
76,77,22
77,78,22
78,79,22
79,80,22
80,81,22
81,82,22
82,83,22
83,84,22
84,85,22
85,86,22
86,87,22
87,88,22
88,89,22
89,90,22
90,91,22
91,92,22
92,93,22
93,94,22
94,95,22
95,96,22
96,97,22
97,98,22
98,99,22
99,100,22
